"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\app\folders\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1591, 0, 0, 0, 0, 30, 80, 1701
"c:\Users\codye\forge\app\folders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 349, 0, 0, 0, 0, 17, 25, 391
"c:\Users\codye\forge\app\forgot-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 4, 14, 159
"c:\Users\codye\forge\app\forgot-username\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 4, 14, 159
"c:\Users\codye\forge\app\forum\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 486, 0, 0, 0, 0, 5, 29, 520
"c:\Users\codye\forge\app\forum\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 824, 0, 0, 0, 0, 30, 49, 903
"c:\Users\codye\forge\app\global-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 2, 31
"c:\Users\codye\forge\app\globals.css", "PostCSS", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 15, 21, 153
"c:\Users\codye\forge\app\issues\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 570, 0, 0, 0, 0, 11, 59, 640
"c:\Users\codye\forge\app\landingpage2\components\CTA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 5, 33
"c:\Users\codye\forge\app\landingpage2\components\FeatureGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 6, 8, 93
"c:\Users\codye\forge\app\landingpage2\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 5, 7, 81
