Date : 2026-04-04 23:34:12
Directory : c:\Users\codye\forge
Total : 44 files,  2627 codes, 29 comments, 181 blanks, all 2837 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\codye\forge\backend\lib\generateThumbnailR2.js                | JavaScript     |          7 |          1 |          0 |          8 |
| c:\Users\codye\forge\backend\lib\repoRoot.js                           | JavaScript     |          3 |          5 |          3 |         11 |
| c:\Users\codye\forge\backend\lib\subscriptionFeatures.js               | JavaScript     |        128 |          6 |          7 |        141 |
| c:\Users\codye\forge\backend\routes\folders.js                         | JavaScript     |         65 |          2 |          2 |         69 |
| c:\Users\codye\forge\backend\routes\projects.js                        | JavaScript     |         87 |          3 |         19 |        109 |
| c:\Users\codye\forge\backend\routes\stats.js                           | JavaScript     |          6 |          1 |          1 |          8 |
| c:\Users\codye\forge\backend\routes\storefront.js                      | JavaScript     |        312 |          5 |         33 |        350 |
| c:\Users\codye\forge\backend\routes\subscriptions.js                   | JavaScript     |         95 |         -3 |          9 |        101 |
| c:\Users\codye\forge\backend\routes\users.js                           | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\codye\forge\backend\server.js                                 | JavaScript     |         30 |          4 |          4 |         38 |
| c:\Users\codye\forge\db\migrations\015_storefront_focused_industry.sql | MS SQL         |          1 |          1 |          1 |          3 |
| c:\Users\codye\forge\design.json                                       | JSON           |        361 |          0 |         19 |        380 |
| c:\Users\codye\forge\frontend\components\ExploreDesignGrid.tsx         | TypeScript JSX |        253 |          1 |          6 |        260 |
| c:\Users\codye\forge\frontend\components\SubscriptionGate.tsx          | TypeScript JSX |         42 |          1 |          3 |         46 |
| c:\Users\codye\forge\frontend\components\TierBadge.tsx                 | TypeScript JSX |        -17 |        -10 |          0 |        -27 |
| c:\Users\codye\forge\frontend\components\ui\GlobalNavSidebar.tsx       | TypeScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\codye\forge\frontend\components\ui\ThreePanelLayout.tsx       | TypeScript JSX |          7 |          0 |          0 |          7 |
| c:\Users\codye\forge\frontend\lib\mapProjectsToDesigns.ts              | TypeScript     |         74 |          3 |          3 |         80 |
| c:\Users\codye\forge\frontend\lib\storefront-industries.ts             | TypeScript     |         20 |          1 |          2 |         23 |
| c:\Users\codye\forge\lib\serverBackendBase.ts                          | TypeScript     |         13 |          9 |          1 |         23 |
| c:\Users\codye\forge\package-lock.json                                 | JSON           |        180 |          0 |          0 |        180 |
| c:\Users\codye\forge\package.json                                      | JSON           |          4 |          0 |          0 |          4 |
| c:\Users\codye\forge\vercel.json                                       | JSON           |          9 |          0 |          0 |          9 |
| Total                                                                  |                |      2,627 |         29 |        181 |      2,837 |
+------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
