"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "XML", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\codye\forge\scripts\run-migration.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 7, 30
"c:\Users\codye\forge\scripts\test-privacy-filter.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 7, 59
"c:\Users\codye\forge\scripts\test-recovery-system.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 15, 100
"c:\Users\codye\forge\scripts\verify-migration.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 10, 55
"c:\Users\codye\forge\scripts\verify-schema.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 7, 37
"c:\Users\codye\forge\tailwind.config.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 0, 26
"c:\Users\codye\forge\tsconfig.json", "JSON with Comments", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\codye\forge\types\index.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 6, 94
"c:\Users\codye\forge\types\next-auth.d.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"Total", "-", 42, 10116, 7861, 9507, 5, 6890, 58, 18341, 1668, 3677, 8384, 66549
