Date : 2025-11-25 11:17:30
Directory : /Users/user/Documents/BlueprintCAD
Total : 65 files,  6652 codes, 496 comments, 623 blanks, all 7771 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         22 |      3,854 |        138 |        202 |      4,194 |
| JavaScript     |         31 |      2,232 |        319 |        357 |      2,908 |
| JSON           |          2 |        307 |          0 |          0 |        307 |
| TypeScript     |          9 |        250 |         38 |         63 |        351 |
| PostCSS        |          1 |          9 |          1 |          1 |         11 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         65 |      6,652 |        496 |        623 |      7,771 |
| . (Files)                                                                         |          3 |        359 |         11 |         11 |        381 |
| app                                                                               |         19 |      3,746 |        135 |        188 |      4,069 |
| app (Files)                                                                       |          2 |         56 |          1 |          5 |         62 |
| app/dashboard                                                                     |          1 |        162 |          7 |          8 |        177 |
| app/explore                                                                       |          1 |        459 |         11 |         10 |        480 |
| app/folders                                                                       |          2 |        740 |         21 |         36 |        797 |
| app/folders (Files)                                                               |          1 |        138 |          5 |          8 |        151 |
| app/folders/[id]                                                                  |          1 |        602 |         16 |         28 |        646 |
| app/forum                                                                         |          2 |        596 |         10 |         24 |        630 |
| app/forum (Files)                                                                 |          1 |        365 |         10 |         21 |        396 |
| app/forum/[id]                                                                    |          1 |        231 |          0 |          3 |        234 |
| app/login                                                                         |          1 |         31 |          0 |          0 |         31 |
| app/marketplace                                                                   |          1 |        206 |          5 |          1 |        212 |
| app/notifications                                                                 |          1 |         24 |         -6 |          7 |         25 |
| app/profile                                                                       |          3 |        316 |          9 |          4 |        329 |
| app/profile/[username]                                                            |          3 |        316 |          9 |          4 |        329 |
| app/profile/[username] (Files)                                                    |          1 |        248 |          9 |          8 |        265 |
| app/profile/[username]/followers                                                  |          1 |         34 |          0 |         -2 |         32 |
| app/profile/[username]/following                                                  |          1 |         34 |          0 |         -2 |         32 |
| app/project                                                                       |          1 |        273 |          8 |         15 |        296 |
| app/project/[id]                                                                  |          1 |        273 |          8 |         15 |        296 |
| app/quote                                                                         |          1 |        131 |         33 |         34 |        198 |
| app/register                                                                      |          1 |        109 |          3 |          6 |        118 |
| app/settings                                                                      |          1 |        447 |         15 |         21 |        483 |
| app/upload                                                                        |          1 |        196 |         18 |         17 |        231 |
