"filename", "language", "JavaScript", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/pages/api/dashboard/trending.js", "JavaScript", 42, 0, 0, 0, 0, 4, 7, 53
"/Users/user/Documents/BlueprintCAD/pages/api/folders/index.ts", "TypeScript", 0, 2, 0, 0, 0, 3, 0, 5
"/Users/user/Documents/BlueprintCAD/pages/api/forum/stats.js", "JavaScript", 47, 0, 0, 0, 0, 7, 11, 65
"/Users/user/Documents/BlueprintCAD/pages/api/forum/threads.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/user/Documents/BlueprintCAD/pages/api/messages/unread.js", "JavaScript", 22, 0, 0, 0, 0, 2, 7, 31
"/Users/user/Documents/BlueprintCAD/pages/api/notifications/[id].js", "JavaScript", 55, 0, 0, 0, 0, 5, 13, 73
"/Users/user/Documents/BlueprintCAD/pages/api/notifications/index.js", "JavaScript", 34, 0, 0, 0, 0, 3, 8, 45
"/Users/user/Documents/BlueprintCAD/pages/api/projects/[id]/download.js", "JavaScript", 113, 0, 0, 0, 0, 17, 21, 151
"/Users/user/Documents/BlueprintCAD/pages/api/projects/[id]/upload-version.ts", "TypeScript", 0, 12, 0, 0, 0, 2, -1, 13
"/Users/user/Documents/BlueprintCAD/pages/api/projects/estimate.js", "JavaScript", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/user/Documents/BlueprintCAD/pages/api/projects/index.js", "JavaScript", 385, 0, 0, 0, 0, 54, 33, 472
"/Users/user/Documents/BlueprintCAD/pages/api/projects/starred.js", "JavaScript", 16, 0, 0, 0, 0, 4, 3, 23
"/Users/user/Documents/BlueprintCAD/pages/api/thumbnails/[file].ts", "TypeScript", 0, 60, 0, 0, 0, 12, 19, 91
"/Users/user/Documents/BlueprintCAD/pages/api/upload.js", "JavaScript", -15, 0, 0, 0, 0, 2, -2, -15
"/Users/user/Documents/BlueprintCAD/pages/api/users/[username]/followers.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 37
"/Users/user/Documents/BlueprintCAD/pages/api/users/[username]/following-status.js", "JavaScript", 48, 0, 0, 0, 0, 3, 10, 61
"/Users/user/Documents/BlueprintCAD/pages/api/users/[username]/following.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 37
"/Users/user/Documents/BlueprintCAD/pages/api/users/[username]/index.js", "JavaScript", 49, 0, 0, 0, 0, 6, 3, 58
"/Users/user/Documents/BlueprintCAD/pages/api/users/banner/[file].ts", "TypeScript", 0, 31, 0, 0, 0, 2, 9, 42
"/Users/user/Documents/BlueprintCAD/pages/api/users/follow-request.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/user/Documents/BlueprintCAD/pages/api/users/follow.js", "JavaScript", 23, 0, 0, 0, 0, 3, 6, 32
"/Users/user/Documents/BlueprintCAD/pages/api/users/profile.ts", "TypeScript", 0, 27, 0, 0, 0, 3, 5, 35
"/Users/user/Documents/BlueprintCAD/scripts/dev.js", "JavaScript", 22, 0, 0, 0, 0, 5, 6, 33
"Total", "-", 2232, 250, 307, 3854, 9, 496, 623, 7771
