"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 1, 2, 24
"c:\Users\codye\forge\app\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 25, 40, 448
"c:\Users\codye\forge\app\order\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 4, 29, 448
"c:\Users\codye\forge\app\order\thank-you\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 11, 121
"c:\Users\codye\forge\app\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 393, 0, 7, 26, 426
"c:\Users\codye\forge\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 337, 0, 12, 23, 372
"c:\Users\codye\forge\app\profile\[username]\followers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 18, 211
"c:\Users\codye\forge\app\profile\[username]\following\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 18, 211
"c:\Users\codye\forge\app\profile\[username]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 897, 0, 28, 48, 973
"c:\Users\codye\forge\app\profile\[username]\page_old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 797, 0, 30, 57, 884
"c:\Users\codye\forge\app\project\[id]\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 1, 2, 27
"c:\Users\codye\forge\app\project\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 961, 0, 40, 49, 1050
"c:\Users\codye\forge\app\providers\AuthProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\codye\forge\app\purchase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 584, 0, 13, 34, 631
"c:\Users\codye\forge\app\quote\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1140, 0, 75, 108, 1323
"c:\Users\codye\forge\app\quote\page_old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 726, 0, 20, 81, 827
"c:\Users\codye\forge\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 9, 27, 305
"c:\Users\codye\forge\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 5, 23, 241
"c:\Users\codye\forge\app\settings\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 238, 0, 2, 26, 266
"c:\Users\codye\forge\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 791, 0, 20, 35, 846
"c:\Users\codye\forge\app\share\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 337, 0, 17, 28, 382
"c:\Users\codye\forge\app\storefront\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 434, 0, 0, 23, 457
"c:\Users\codye\forge\app\subscription\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 381, 0, 6, 28, 415
"c:\Users\codye\forge\app\subscription\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 2, 16, 159
"c:\Users\codye\forge\app\support\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 191, 0, 8, 11, 210
"c:\Users\codye\forge\app\transfer-requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
