Date : 2025-11-26 18:53:18
Directory : /Users/user/Documents/BlueprintCAD
Total : 44 files,  2745 codes, 131 comments, 423 blanks, all 3299 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/user/Documents/BlueprintCAD/app/settings/page.tsx                            | TypeScript JSX |          1 |          0 |          0 |          1 |
| /Users/user/Documents/BlueprintCAD/app/subscription/page.tsx                        | TypeScript JSX |        337 |          3 |         23 |        363 |
| /Users/user/Documents/BlueprintCAD/app/upload/page.tsx                              | TypeScript JSX |         31 |          1 |          1 |         33 |
| /Users/user/Documents/BlueprintCAD/backend/lib/subscription-utils.js                | JavaScript     |        229 |         37 |         34 |        300 |
| /Users/user/Documents/BlueprintCAD/db/migrations/006_add_subscriptions.js           | JavaScript     |        113 |         11 |         17 |        141 |
| /Users/user/Documents/BlueprintCAD/frontend/components/SubscriptionGate.tsx         | TypeScript JSX |        115 |          6 |         17 |        138 |
| /Users/user/Documents/BlueprintCAD/frontend/components/UpgradeModal.tsx             | TypeScript JSX |        197 |          0 |         16 |        213 |
| /Users/user/Documents/BlueprintCAD/frontend/components/ui/GlobalNavSidebar.tsx      | TypeScript JSX |         -6 |          0 |          0 |         -6 |
| /Users/user/Documents/BlueprintCAD/lib/stripe-utils.js                              | JavaScript     |        104 |         20 |         12 |        136 |
| /Users/user/Documents/BlueprintCAD/pages/api/comments/on/[entityType]/[entityId].ts | TypeScript     |         14 |          1 |          1 |         16 |
| /Users/user/Documents/BlueprintCAD/pages/api/folders/[id]/members.ts                | TypeScript     |         15 |          1 |          1 |         17 |
| /Users/user/Documents/BlueprintCAD/pages/api/folders/index.ts                       | TypeScript     |         17 |          1 |          1 |         19 |
| /Users/user/Documents/BlueprintCAD/pages/api/forum/threads.ts                       | TypeScript     |          9 |          1 |          1 |         11 |
| /Users/user/Documents/BlueprintCAD/pages/api/manufacturing-orders/[id]/status.js    | JavaScript     |         55 |          5 |         16 |         76 |
| /Users/user/Documents/BlueprintCAD/pages/api/messages.ts                            | TypeScript     |         11 |          1 |          1 |         13 |
| /Users/user/Documents/BlueprintCAD/pages/api/orders/checkout.js                     | JavaScript     |          5 |          1 |          1 |          7 |
| /Users/user/Documents/BlueprintCAD/pages/api/orders/confirm.js                      | JavaScript     |         15 |          2 |          2 |         19 |
| /Users/user/Documents/BlueprintCAD/pages/api/projects/[id]/download.js              | JavaScript     |         28 |          4 |          2 |         34 |
| /Users/user/Documents/BlueprintCAD/pages/api/projects/[id]/index.js                 | JavaScript     |          7 |          1 |          1 |          9 |
| /Users/user/Documents/BlueprintCAD/pages/api/projects/[id]/like.js                  | JavaScript     |          7 |          2 |          2 |         11 |
| /Users/user/Documents/BlueprintCAD/pages/api/projects/index.js                      | JavaScript     |         31 |          4 |          4 |         39 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/can-action.js            | JavaScript     |         23 |          1 |          8 |         32 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/cancel.js                | JavaScript     |         31 |          4 |         10 |         45 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/check.js                 | JavaScript     |         37 |          2 |          7 |         46 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/platform-fee.js          | JavaScript     |         22 |          2 |          6 |         30 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/upgrade.js               | JavaScript     |         56 |          7 |         14 |         77 |
| /Users/user/Documents/BlueprintCAD/pages/api/subscriptions/webhook.js               | JavaScript     |        181 |          7 |         26 |        214 |
| Total                                                                               |                |      2,745 |        131 |        423 |      3,299 |
+-------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
