"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/app/order/thank-you/page.tsx", "TypeScript JSX", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 121
"/Users/user/Documents/BlueprintCAD/app/orders/page.tsx", "TypeScript JSX", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26, 426
"/Users/user/Documents/BlueprintCAD/app/page.tsx", "TypeScript JSX", 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 381
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/followers/page.tsx", "TypeScript JSX", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 211
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/following/page.tsx", "TypeScript JSX", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 211
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/page.tsx", "TypeScript JSX", 0, 841, 0, 0, 0, 0, 0, 0, 0, 0, 27, 47, 915
"/Users/user/Documents/BlueprintCAD/app/profile/[username]/page_old.tsx", "TypeScript JSX", 0, 797, 0, 0, 0, 0, 0, 0, 0, 0, 30, 57, 884
"/Users/user/Documents/BlueprintCAD/app/project/[id]/error.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"/Users/user/Documents/BlueprintCAD/app/project/[id]/page.tsx", "TypeScript JSX", 0, 877, 0, 0, 0, 0, 0, 0, 0, 0, 26, 44, 947
"/Users/user/Documents/BlueprintCAD/app/providers/AuthProvider.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/user/Documents/BlueprintCAD/app/purchase/page.tsx", "TypeScript JSX", 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 13, 34, 631
"/Users/user/Documents/BlueprintCAD/app/quote/page.tsx", "TypeScript JSX", 0, 1136, 0, 0, 0, 0, 0, 0, 0, 0, 75, 108, 1319
"/Users/user/Documents/BlueprintCAD/app/quote/page_old.tsx", "TypeScript JSX", 0, 726, 0, 0, 0, 0, 0, 0, 0, 0, 20, 81, 827
